table_type,level_code,id,subtopic_id,question_type,difficulty,dok,prompt,answer,source,source_url,source_activity_id,resource_title,resource_url
exemplar,EM9_INT,em9int_ex_001,em9int_m1_s1,performance_task,hard,3,Modeling Expressions Task,,performance_task,https://drive.google.com/file/d/1eHiwWnEOxPai9yTNQTonPVscvSv7Wb8L/view?usp=sharing,em9int_m1_d2_performance_task_01,,
exemplar,EM9_INT,em9int_ex_002,em9int_m1_s2,fal_pre_assessment,medium,2,Pre-assessment for Interpreting Equations (FAL 1A),,fal_pre_assessment,https://drive.google.com/file/d/14HyzJ2EQ1rga6w-RoozRxAGoSSW64DAk/view?usp=sharing,em9int_m1_d2_fal_pre_assessment_02,,
exemplar,EM9_INT,em9int_ex_003,em9int_m1_s3,fal_pre_assessment,medium,2,Pre-assessment for Interpreting Algebraic Expressions (FAL 1B),,fal_pre_assessment,https://drive.google.com/file/d/1bq0_kj2wEI1fMgpyC0pNNjxoyBdpiBCA/view?usp=sharing,em9int_m1_d3_fal_pre_assessment_03,,
exemplar,EM9_INT,em9int_ex_004,em9int_m1_s2,fal_post_assessment,medium,2,Post-assessment for Interpreting Equations,,fal_post_assessment,https://drive.google.com/file/d/14HyzJ2EQ1rga6w-RoozRxAGoSSW64DAk/view?usp=sharing,em9int_m1_d5_fal_post_assessment_07,,
exemplar,EM9_INT,em9int_ex_005,em9int_m1_s3,fal_post_assessment,medium,2,Post-assessment for Interpreting Algebraic Expressions,,fal_post_assessment,https://drive.google.com/file/d/1bq0_kj2wEI1fMgpyC0pNNjxoyBdpiBCA/view?usp=sharing,em9int_m1_d8_fal_post_assessment_12,,
exemplar,EM9_INT,em9int_ex_006,em9int_m1_s4,performance_task,hard,3,Matching Cards Task,,performance_task,https://docs.google.com/presentation/d/1_syV99hZnRSTvk8ADdKsPIbPd-uXWqBjgkfS-eQUb5w/copy?usp=sharing,em9int_m1_d8_performance_task_13,,
exemplar,EM9_INT,em9int_ex_007,em9int_m1_s4,performance_task,hard,3,It is Just An Expression Task,,performance_task,https://drive.google.com/file/d/11_L20tHVb-L4JEmuCqGzYAJFdHsKnQZ0/view?usp=sharing,em9int_m1_d9_performance_task_14,,
exemplar,EM9_INT,em9int_ex_008,em9int_m2_s1,fal_pre_assessment,medium,2,Pre-assessment for Generating Patterns — Table Tiles (FAL 2),,fal_pre_assessment,https://drive.google.com/file/d/1NSNioAtpXrwMNgCBVnpa4svtwuoE__kw/view?usp=sharing,em9int_m2_d1_fal_pre_assessment_00,,
exemplar,EM9_INT,em9int_ex_009,em9int_m2_s2,performance_task,hard,3,Vertical Slice (Choice of 6 Tasks — Students do at least 3),,performance_task,,em9int_m2_d1_performance_task_01,,
exemplar,EM9_INT,em9int_ex_010,em9int_m2_s3,performance_task,hard,3,Trapezoidal Numbers (2001),,performance_task,https://drive.google.com/file/d/16G6SaV4qgkr04-VJr_JK73rrBnLdQ1KK/view?usp=sharing,em9int_m2_d3_performance_task_03,,
exemplar,EM9_INT,em9int_ex_011,em9int_m2_s3,performance_task,hard,3,End of Year Dinner,,performance_task,https://drive.google.com/file/d/1aB0Ycu63QtqHsl_uSrtnnl25zMCNWXG6/view?usp=sharing,em9int_m2_d4_performance_task_04,,
exemplar,EM9_INT,em9int_ex_012,em9int_m2_s3,performance_task,hard,3,Patrick's Patterns,,performance_task,https://drive.google.com/file/d/120mJdbyfNTMN41baQ5LmaxcxUj6PUoJ1/view?usp=sharing,em9int_m2_d5_performance_task_05,,
exemplar,EM9_INT,em9int_ex_013,em9int_m2_s1,fal_post_assessment,medium,2,Post-assessment for Generating Patterns: Table Tiles,,fal_post_assessment,https://drive.google.com/file/d/1NSNioAtpXrwMNgCBVnpa4svtwuoE__kw/view?usp=sharing,em9int_m2_d8_fal_post_assessment_09,,
exemplar,EM9_INT,em9int_ex_014,em9int_m2_s4,performance_task,hard,3,Linda's Tiles,,performance_task,https://drive.google.com/file/d/1wS6MG4f_S_3VJmQKhZkMHbp4c8cSLd_S/view?usp=sharing,em9int_m2_d9_performance_task_10,,
exemplar,EM9_INT,em9int_ex_015,em9int_m2_s2,vertical_slice_task,medium,2,Piles of Oranges,,vertical_slice_task,,em9int_m2_vertical_slice_00,,
exemplar,EM9_INT,em9int_ex_016,em9int_m2_s2,vertical_slice_task,medium,2,Bead Necklaces,,vertical_slice_task,,em9int_m2_vertical_slice_01,,
exemplar,EM9_INT,em9int_ex_017,em9int_m2_s2,vertical_slice_task,medium,2,Necklaces,,vertical_slice_task,https://drive.google.com/file/d/1nKLHB1oDBJ1G-u0c10clHIhoc6U6ZCB7/view?usp=sharing,em9int_m2_vertical_slice_02,,
exemplar,EM9_INT,em9int_ex_018,em9int_m2_s2,vertical_slice_task,medium,2,Grocery Store Cart,,vertical_slice_task,https://drive.google.com/file/d/1r7YPn-OLpbCcHZtcXJyFARJAI9ZkEJ8M/view?usp=sharing,em9int_m2_vertical_slice_03,,
exemplar,EM9_INT,em9int_ex_019,em9int_m2_s2,vertical_slice_task,medium,2,Toothpick Stairs,,vertical_slice_task,https://drive.google.com/file/d/1T9qXpPPBlhjVMZH-vt7rXD0_FivgHmrc/view?usp=sharing,em9int_m2_vertical_slice_04,,
exemplar,EM9_INT,em9int_ex_020,em9int_m3_s1,performance_task,hard,3,Skateboarding Tricks,,performance_task,https://drive.google.com/file/d/1GS_Ezh7162I6jmr1mzAUtpPF2AsruaOD/view?usp=sharing,em9int_m3_d1_performance_task_00,,
exemplar,EM9_INT,em9int_ex_021,em9int_m3_s3,fal_pre_assessment,medium,2,Pre-Assessment FAL — Transforming 2D Figures,,fal_pre_assessment,https://drive.google.com/file/d/15KtD26wEwDnArv-DAZZeSlBeMKOJDcn9/view?usp=sharing,em9int_m3_d1_fal_pre_assessment_01,,
exemplar,EM9_INT,em9int_ex_022,em9int_m3_s2,investigation,medium,2,Transformations Introduction / Exploration 1 — Translation,,investigation,https://drive.google.com/file/d/1tj8BThp0VVqkAPzck6Vk7F9rEGlhyc-8/view?usp=drive_link,em9int_m3_d2_investigation_02,,
exemplar,EM9_INT,em9int_ex_023,em9int_m3_s2,investigation,medium,2,Transformations Exploration 2 (Translation) & Exploration 3 (Reflection),,investigation,https://drive.google.com/file/d/1tj8BThp0VVqkAPzck6Vk7F9rEGlhyc-8/view?usp=drive_link,em9int_m3_d3_investigation_03,,
exemplar,EM9_INT,em9int_ex_024,em9int_m3_s2,investigation,medium,2,Transformations Exploration 4 (Rotations) & Exploration 5,,investigation,https://drive.google.com/file/d/1tj8BThp0VVqkAPzck6Vk7F9rEGlhyc-8/view?usp=drive_link,em9int_m3_d4_investigation_04,,
exemplar,EM9_INT,em9int_ex_025,em9int_m3_s2,investigation,medium,2,Transformations Exploration 6 — Review,,investigation,https://drive.google.com/file/d/1tj8BThp0VVqkAPzck6Vk7F9rEGlhyc-8/view?usp=drive_link,em9int_m3_d5_investigation_05,,
exemplar,EM9_INT,em9int_ex_026,em9int_m3_s5,performance_task,hard,3,M.C. Escher (optional),,performance_task,https://drive.google.com/file/d/1cMZrqGUE2fcGpLH3ZyAFlVUWb5FYVi-g/view?usp=sharing,em9int_m3_d5_performance_task_06,,
exemplar,EM9_INT,em9int_ex_027,em9int_m3_s3,fal_post_assessment,medium,2,FAL Transforming 2D Figures (Day 3 / Post Assessment),,fal_post_assessment,https://drive.google.com/file/d/15KtD26wEwDnArv-DAZZeSlBeMKOJDcn9/view?usp=sharing,em9int_m3_d8_fal_post_assessment_09,,
