level_code,activity_id,module_id,day_number,activity_type,prompt_text,subtopic_id,resource_urls
EM3,em3_m1_d1_mt,em3_m1,1,math_talk,Repeated addition by 2,,{}
EM3,em3_m1_d1_cl,em3_m1,1,core_lesson,Multiplication with Area,em3_m1_s1,"{""lesson_plan_label"": ""Multiplication with Area Lesson Plan""}"
EM3,em3_m1_d1_task,em3_m1,1,math_task,4 Quadrant Math,em3_m1_s1,"{""template"": ""Use Template""}"
EM3,em3_m1_d2_mt,em3_m1,2,math_talk,Expressions for a 2x4 array of triangles,,{}
EM3,em3_m1_d2_cl,em3_m1,2,core_lesson,Multiplication with Area,em3_m1_s1,"{""lesson_plan_label"": ""Multiplication with Area Lesson Plan""}"
EM3,em3_m1_d2_task,em3_m1,2,math_task,Seating Arrangement,em3_m1_s1,"{""gslides_label"": ""Seating Arrangement G Slides"", ""pdf_label"": ""Seating Arrangement PDF"", ""nearpod_label"": ""Seating Arrangements""}"
EM3,em3_m1_d3_mt,em3_m1,3,math_talk,Repeated addition with 9,,{}
EM3,em3_m1_d3_cl,em3_m1,3,core_lesson,Multiplication with Area,em3_m1_s1,"{""lesson_plan_label"": ""Multiplication with Area Lesson Plan""}"
EM3,em3_m1_d3_task,em3_m1,3,math_task,Finding Factors with Arrays,em3_m1_s1,"{""gslides_label"": ""Finding Factors with Arrays G Slides"", ""pdf_label"": ""Finding Factors PDF"", ""nearpod_label"": ""Finding Factors""}"
EM3,em3_m1_d4_mt,em3_m1,4,math_talk,Expressions for 6 die with 3s represented,,{}
EM3,em3_m1_d4_check,em3_m1,4,mid_module_check,Mid Module Quick Check for Mod 1,,"{""assessment_label"": ""Mid Module Quick Check for Mod 1""}"
EM3,em3_m1_d4_cl,em3_m1,4,core_lesson,Multiplication Strategies,em3_m1_s2,"{""lesson_plan_label"": ""Multiplication Strategies Lesson Plan""}"
EM3,em3_m1_d4_task,em3_m1,4,math_task,Tiling the Kitchen,em3_m1_s2,"{""gslides_label"": ""Tiling the Kitchen G Slides"", ""pdf_label"": ""Tiling the Kitchen PDF"", ""nearpod_label"": ""Tiling the Kitchen""}"
EM3,em3_m1_d5_mt,em3_m1,5,math_talk,The product of two factors is 12. What are the two factors?,,{}
EM3,em3_m1_d5_cl,em3_m1,5,core_lesson,Multiplication Strategies,em3_m1_s2,"{""lesson_plan_label"": ""Multiplication Strategies Lesson Plan""}"
EM3,em3_m1_d5_task,em3_m1,5,math_task,Gifts From Grandma,em3_m1_s2,"{""gslides_label"": ""Gifts From Grandma"", ""pdf_label"": ""Gifts From Grandma PDF"", ""nearpod_label"": ""Gifts from Grandma""}"
EM3,em3_m1_d6_mt,em3_m1,6,math_talk,What are the equations that represent a figure of 3x5?,,{}
EM3,em3_m1_d6_cl,em3_m1,6,core_lesson,Commutative Property of Multiplication,em3_m1_s3,"{""lesson_plan_label"": ""Commutative Property of Multiplication Lesson Plan""}"
